대분류,카테고리,서브카테고리,툴 이름,킬러 기능,특징,비용,가입 방식,무료 한도,한국어 지원,출처
지식 & 비즈니스 생산성 (Productivity & Business),연구 (Knowledge & Insight),웹 크롤링,Firecrawl,"LLM 친화적 웹 크롤링, 마크다운 변환",,,이메일 가입,무료 티어,API,ODS
지식 & 비즈니스 생산성 (Productivity & Business),연구 (Knowledge & Insight),,Genspark,,시장 조사 및 리서치 시 여러 소스를 통합하여 신뢰도 높은 정보와 인사이트를 요약 제공,,이메일 가입,무료 무제한,한국어 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),연구 (Knowledge & Insight),,NotebookLM,,"사용자가 업로드한 문서(PDF, 웹)만 근거로 답변하여 환각이 거의 없는 나만의 지식 베이스 구축",,구글 계정,완전 무료,문서 기반이라 언어 무관,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),연구 (Knowledge & Insight),,Perplexity,,최신 웹 정보를 실시간으로 검색하여 신뢰할 수 있는 출처(링크)와 함께 팩트 위주의 답변 제공,,구글/이메일,하루 5회 Pro 검색,한국어 검색 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),정보 검색 / 문서 작성,,ChatGPT,,"이미지/영상 생성(DALL-E, Sora), 실시간 음성 대화, 웹 브라우징 등 실행력이 매우 강력한 만능 AI",,구글/이메일 계정 가입,"GPT-4o mini 무제한, GPT-4o 제한적",완벽 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),정보 검색 / 문서 작성,,Claude,,"인간에 가까운 자연스러운 문체, 수백 페이지 분량의 문서를 한 번에 읽고 분석하는 추능 능력 탁월",,구글/이메일 계정 가입,Claude 3.5 Sonnet 무제한,완벽 지원 (한국어 특화),XLSX
지식 & 비즈니스 생산성 (Productivity & Business),정보 검색 / 문서 작성,,DeepSeek,,최근 추론 능력이 비약적으로 발전하여 높은 성능 대비 뛰어난 효율을 제공하는 가성비 툴,,이메일 가입,무료 무제한 사용,기본 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),정보 검색 / 문서 작성,,뤼튼 (Wrtn),,"한국 시장 특화 UI와 유료 모델 무료 제공, 검색부터 창작까지 돕는 대표적인 한국형 AI 포털",,카카오/네이버 간편 가입,GPT-4 무제한 무료,한국어 특화 최적화,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),통번역,,DeepL,,"문맥을 파악하는 고품질 번역, 문체 교정 및 실시간 음성 번역(DeepL Voice) 기능 제공",,이메일 가입,"월 5,000자",한국어↔30개 언어,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),통번역,,Transync AI,100ms 미만 실시간 통역 (Zoom/Teams),"100ms 미만의 초저지연 실시간 통역 제공, Zoom/Teams 등 화상 회의 연동에 최적화",,이메일 가입,제한적,한국어 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),통번역,,Wordly,"대규모 컨퍼런스 실시간 통역, 3000+ 언어쌍","대규모 컨퍼런스용 실시간 음성 통역 및 3,000개 이상의 언어 쌍 자막 송출 서비스",,기업 문의,무료 없음,한국어 포함 70+ 언어,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,ClovaNote,,국내 최고의 음성 인식률로 회의록을 텍스트화하고 핵심 내용을 자동으로 요약,,네이버 계정,월 300분,한국어 특화 음성 인식,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,Felo,다국어 실시간 회의 통역,실시간 다국어 검색과 기록 기능을 결합하여 외국어 자료 조사 장벽을 낮추는 도구,,이메일 가입,무료 플랜,한국어 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,Fireflies.ai,"Zoom/Teams 자동 회의록, AI 요약",대화 속에서 할 일(Action Item)을 자동 추출하여 다른 앱(Slack 등)으로 전송하는 자동화 도구,,구글/이메일,무료 플랜,영어 중심,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,Lilys AI,"한국어 회의록, AI 요약",유튜브 영상이나 긴 녹취록을 타임라인별로 깔끔하게 요약해 주는 데 특화,,이메일 가입,무료 플랜,한국어 특화,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,Notion,,"문서, 프로젝트, 데이터베이스를 하나로 관리하는 팀 협업용 지식 관리 워크스페이스",,구글/이메일,개인 무료 무제한,완벽 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,Obsidian,"마크다운 기반 지식 그래프, 로컬 우선",노트 간 연결을 통해 지식의 그물망을 형성하는 강력한 로컬 기반 개인 지식 관리 도구,,가입 불필요 (로컬),완전 무료,한국어 지원,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,Otter.ai,"실시간 영어 회의록, 화자 구분","영어권 회의 기록의 표준으로, 화자 구분과 실시간 노트 작성 능력이 매우 뛰어남",,구글/이메일,월 300분,영어 중심,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,다글로 (Daglo),"한국어 회의록, 화자 분리",높은 한국어 인식률을 바탕으로 영상/음성 자료를 키워드별로 정리하고 전사하는 서비스,,카카오/네이버,무료 플랜,한국어 특화,XLSX
지식 & 비즈니스 생산성 (Productivity & Business),회의 및 기록,,비토 (Vito),"한국어 회의록, 네이버 통합",통화 내용을 메신저 형태의 텍스트로 시각화하여 전화 업무 기록 관리에 최적화,,네이버 계정,월 120분,한국어 특화,XLSX
