대분류,카테고리,서브카테고리,툴 이름,킬러 기능,특징,비용,가입 방식,무료 한도,한국어 지원,URL
개발 & 인프라,오픈소스,,OpenWebUI,ChatGPT와 동일한 UI로 Ollama 등 로컬 LLM을 웹 브라우저에서 사용하는 오픈소스,"Ollama 등 로컬 LLM을 ChatGPT와 동일한 웹 인터페이스로 사용하는 오픈소스 프론트엔드. 멀티모달, RAG, 사용자 관리 등 기업용 기능까지 지원.",,가입 불필요 (셀프 호스팅),완전 무료,한국어 지원,https://openwebui.com
개발 & 인프라,오픈소스,,Pinokio,ComfyUI·Stable Diffusion 등 복잡한 AI 앱을 원클릭으로 설치·관리하는 런처,"ComfyUI, Stable Diffusion WebUI, Whisper 등 복잡한 AI 오픈소스 앱을 원클릭으로 설치·실행·업데이트하는 범용 AI 앱 런처.",,가입 불필요,완전 무료,UI 영어,https://pinokio.computer
개발 & 인프라,오픈소스,,Transformers,"Hugging Face의 핵심 라이브러리, 수만 개 사전학습 모델을 3줄 코드로 활용","Hugging Face의 핵심 파이썬 라이브러리. BERT, GPT, Llama 등 수만 개 사전학습 모델을 3줄 코드로 로드하여 자연어 처리, 이미지 분류 등 다양한 AI 작업에 활용.",,가입 불필요,완전 무료 (오픈소스),문서 영어,https://huggingface.co/docs/transformers
개발 & 인프라,업무 자동화 및 에이전트 (Automation & Agents),,Dify,LLM과 내 데이터를 결합한 커스텀 AI 에이전트를 노코드로 구축하는 오픈소스 플랫폼,앱 간 연결을 넘어 LLM과 내 데이터를 결합한 커스텀 AI 에이전트를 구축하는 플랫폼,,이메일 가입,무료 티어 제공,한국어 지원,https://dify.ai
개발 & 인프라,업무 자동화 및 에이전트 (Automation & Agents),,Zapier,"'A 발생 시 B 실행' 방식의 7,000+ 앱 연동 자동화, 세계에서 가장 대중적인 자동화 툴","""A가 발생하면 B를 하라"" 방식의 단순 직선형 자동화에 최적화된 가장 대중적인 도구",,구글/이메일,월 100 tasks,"UI 영어, 한글 앱 연동 가능",https://zapier.com
개발 & 인프라,노코드 자동화,,n8n,"셀프 호스팅 가능한 오픈소스 워크플로우 자동화, 복잡한 분기·조건 로직도 시각적 설계",오픈소스 워크플로우 자동화 플랫폼. 400개+ 앱 연동과 복잡한 분기·조건·루프 로직을 시각적 노드 에디터로 설계. 셀프 호스팅으로 데이터 주권 확보.,,셀프 호스팅 or 클라우드,셀프 호스팅 완전 무료,UI 영어,https://n8n.io
개발 & 인프라,AI 웹 빌더,,Codev,프롬프트 한 줄로 프론트+백엔드+DB까지 풀스택 코드를 즉시 생성하는 AI 코딩 툴,"프롬프트 한 줄로 프론트엔드, 백엔드, 데이터베이스까지 풀스택 코드를 즉시 생성하는 AI 코딩 에이전트. 2026년 떠오르는 빌더.",,이메일 가입,무료 플랜,영어,https://codev.new
개발 & 인프라,AI 코딩 에디터,,Cursor,"VS Code 기반 AI 코드 에디터, 전체 코드베이스를 이해하고 자동 완성·리팩토링","VS Code를 기반으로 전체 코드베이스를 이해하는 AI 코드 에디터. 자동 완성, 리팩토링, 버그 수정을 코드 문맥에 맞춰 제안하며, 2026년 개발자 사이에서 가장 인기 있는 AI IDE.",,이메일 가입,2주 Pro 무료 체험,한국어 주석 지원,https://www.cursor.com
개발 & 인프라,AI 웹 빌더,,Replit,"브라우저에서 코딩→실행→배포까지 올인원, AI 에이전트가 앱을 자동으로 빌드","브라우저에서 코딩, 실행, 배포까지 올인원으로 처리하는 클라우드 IDE. AI 에이전트가 자연어 명령으로 전체 앱을 자동 빌드하며, 팀 협업과 실시간 미리보기 지원.",,구글/GitHub,무료 플랜,한국어 지원,https://replit.com
개발 & 인프라,AI 웹 빌더,,Reweb,기존 웹사이트 URL을 입력하면 AI가 모던한 디자인으로 자동 리디자인,기존 웹사이트 URL을 입력하면 AI가 최신 트렌드에 맞는 모던한 디자인으로 자동 리디자인해주는 툴.,,이메일 가입,무료 플랜,영어,https://reweb.so
개발 & 인프라,AI 웹 빌더,,Rork,자연어 프롬프트만으로 모바일 앱을 생성·미리보기·배포하는 AI 앱 빌더,"자연어 프롬프트만으로 모바일 앱의 UI와 기능을 생성하고, 실시간 미리보기와 배포까지 처리하는 AI 앱 빌더.",,이메일 가입,무료 티어,영어,https://rork.app
개발 & 인프라,AI 코딩 에디터,,Trae,"ByteDance의 AI 코딩 에이전트, 코드 자동 완성·디버깅·테스트를 한 번에 처리","ByteDance(틱톡)가 만든 무료 AI 코딩 에이전트. VS Code 확장으로 코드 자동 완성, 디버깅, 테스트 코드 생성을 한 번에 처리.",,이메일 가입,무료 플랜,한국어 지원,https://www.trae.ai
개발 & 인프라,AI 코딩 에디터,,Windsurf,"Codeium 기반 AI IDE, 멀티파일 편집과 자동 디버깅으로 개발 속도 2배 향상","Codeium 기반의 AI 네이티브 코드 에디터. 멀티파일 동시 편집, 자동 디버깅, 코드 리뷰를 AI가 수행하여 개발 생산성을 2배 이상 향상.",,이메일 가입,무료 플랜 제공,한국어 지원,https://windsurf.com
지식 & 생산성,시각화 & PPT,,Gamma,텍스트 프롬프트만으로 디자인 완성된 PPT/웹 프레젠테이션을 1분 만에 생성,간단한 프롬프트(텍스트)만으로 디자인이 완성된 PPT를 1분 만에 생성,,구글 계정,월 400 AI 크레딧,한국어 지원,https://gamma.app
지식 & 생산성,시각화 & PPT,,Mapify,복잡한 문서·아이디어를 한눈에 들어오는 AI 마인드맵으로 자동 시각화,복잡한 문서나 아이디어를 한눈에 들어오는 마인드맵으로 시각화하여 정보 구조화 지원,,구글/이메일,무료 플랜,한국어 지원,https://mapify.so
지식 & 생산성,시각화 & PPT,,Napkin,텍스트를 입력하면 로직에 맞는 다이어그램·인포그래픽으로 자동 변환하는 시각화 툴,텍스트를 입력하면 로직에 맞는 깔끔한 다이어그램과 인포그래픽으로 자동 변환,,구글 계정,무료 무제한,한국어 입력 가능,https://www.napkin.ai
지식 & 생산성,연구 (Knowledge & Insight),,Consensus,수억 편의 학술 논문 기반으로 비즈니스 가설과 전문 지식을 과학적으로 검증,수억 편의 학술 논문과 과학적 근거를 바탕으로 비즈니스 가설이나 전문 지식을 검증,,이메일 가입,월 20회 검색,영어 논문 중심,https://consensus.app
지식 & 생산성,연구 (Knowledge & Insight),웹 크롤링,Firecrawl,웹 페이지를 LLM 학습에 최적화된 마크다운으로 크롤링·변환하는 개발자 도구,웹 페이지의 콘텐츠를 크롤링하여 LLM 학습이나 RAG에 최적화된 깔끔한 마크다운으로 변환하는 개발자 도구. 자바스크립트 렌더링 페이지도 처리 가능.,,이메일 가입,무료 티어,API,https://www.firecrawl.dev
지식 & 생산성,연구 (Knowledge & Insight),,Genspark,여러 소스를 통합 분석해 신뢰도 높은 인사이트를 요약 제공하는 AI 리서치 엔진,시장 조사 및 리서치 시 여러 소스를 통합하여 신뢰도 높은 정보와 인사이트를 요약 제공,,이메일 가입,무료 무제한,한국어 지원,https://www.genspark.ai
지식 & 생산성,연구 (Knowledge & Insight),,NotebookLM,업로드한 문서만 근거로 답변해 환각이 거의 없는 구글의 AI 지식 베이스,"사용자가 업로드한 문서(PDF, 웹)만 근거로 답변하여 환각이 거의 없는 나만의 지식 베이스 구축",,구글 계정,완전 무료,문서 기반이라 언어 무관,https://notebooklm.google.com
지식 & 생산성,연구 (Knowledge & Insight),,Perplexity,"최신 웹 정보를 실시간 검색, 출처 링크와 함께 팩트 위주 답변을 제공하는 AI 검색",최신 웹 정보를 실시간으로 검색하여 신뢰할 수 있는 출처(링크)와 함께 팩트 위주의 답변 제공,,구글/이메일,하루 5회 Pro 검색,한국어 검색 지원,https://www.perplexity.ai
지식 & 생산성,정보 검색 / 문서 작성,,ChatGPT,"이미지·영상 생성, 실시간 음성 대화, 웹 브라우징까지 가능한 만능 AI 어시스턴트","이미지/영상 생성(DALL-E, Sora), 실시간 음성 대화, 웹 브라우징 등 실행력이 매우 강력한 만능 AI",,구글/이메일 계정 가입,"GPT-4o mini 무제한, GPT-4o 제한적",완벽 지원,https://chatgpt.com
지식 & 생산성,정보 검색 / 문서 작성,,Claude,수백 페이지 문서를 한 번에 분석하는 초장문 처리와 자연스러운 문체가 강점인 AI,"인간에 가까운 자연스러운 문체, 수백 페이지 분량의 문서를 한 번에 읽고 분석하는 추능 능력 탁월",,구글/이메일 계정 가입,Claude 3.5 Sonnet 무제한,완벽 지원 (한국어 특화),https://claude.ai
지식 & 생산성,정보 검색 / 문서 작성,,DeepSeek,최상위 추론 능력을 오픈소스·저비용으로 제공하는 가성비 최강 중국산 AI 모델,최근 추론 능력이 비약적으로 발전하여 높은 성능 대비 뛰어난 효율을 제공하는 가성비 툴,,이메일 가입,무료 무제한 사용,기본 지원,https://www.deepseek.com
지식 & 생산성,정보 검색 / 문서 작성,,뤼튼 (Wrtn),"GPT-4급 모델을 무료로 제공하는 한국형 AI 포털, 검색→창작→번역 올인원","한국 시장 특화 UI와 유료 모델 무료 제공, 검색부터 창작까지 돕는 대표적인 한국형 AI 포털",,카카오/네이버 간편 가입,GPT-4 무제한 무료,한국어 특화 최적화,https://wrtn.ai
지식 & 생산성,통번역,,DeepL,문맥 파악 고품질 번역 + 문체 교정 + 실시간 음성 번역(DeepL Voice) 통합,"문맥을 파악하는 고품질 번역, 문체 교정 및 실시간 음성 번역(DeepL Voice) 기능 제공",,이메일 가입,"월 5,000자",한국어↔30개 언어,https://www.deepl.com
지식 & 생산성,통번역,,Transync AI,"100ms 미만 초저지연 실시간 통역, Zoom·Teams 화상회의 연동에 최적화","100ms 미만의 초저지연 실시간 통역 제공, Zoom/Teams 등 화상 회의 연동에 최적화",,이메일 가입,제한적,한국어 지원,https://transync.ai
지식 & 생산성,통번역,,Wordly,"3,000+ 언어 쌍 지원, 대규모 컨퍼런스용 실시간 음성 통역·자막 송출 서비스","대규모 컨퍼런스용 실시간 음성 통역 및 3,000개 이상의 언어 쌍 자막 송출 서비스",,기업 문의,무료 없음,한국어 포함 70+ 언어,https://www.wordly.ai
지식 & 생산성,회의 및 기록,,ClovaNote,국내 최고 한국어 음성 인식률로 회의록 텍스트화 + 핵심 내용 자동 요약,국내 최고의 음성 인식률로 회의록을 텍스트화하고 핵심 내용을 자동으로 요약,,네이버 계정,월 300분,한국어 특화 음성 인식,https://clovanote.naver.com
지식 & 생산성,회의 및 기록,,Felo,다국어 실시간 검색·기록을 결합해 외국어 자료 조사 장벽을 낮추는 AI 검색,실시간 다국어 검색과 기록 기능을 결합하여 외국어 자료 조사 장벽을 낮추는 도구,,이메일 가입,무료 플랜,한국어 지원,https://felo.ai
지식 & 생산성,회의 및 기록,,Fireflies.ai,"Zoom·Teams 회의 자동 녹취, 할 일(Action Item)을 추출해 Slack으로 전송",대화 속에서 할 일(Action Item)을 자동 추출하여 다른 앱(Slack 등)으로 전송하는 자동화 도구,,구글/이메일,무료 플랜,영어 중심,https://fireflies.ai
지식 & 생산성,회의 및 기록,,Lilys AI,유튜브 영상·긴 녹취록을 타임라인별로 깔끔하게 요약해주는 한국어 특화 AI,유튜브 영상이나 긴 녹취록을 타임라인별로 깔끔하게 요약해 주는 데 특화,,이메일 가입,무료 플랜,한국어 특화,https://lilys.ai
지식 & 생산성,회의 및 기록,,Notion,"문서·프로젝트·DB를 하나로 관리하는 팀 협업 워크스페이스, AI 요약·작성 내장","문서, 프로젝트, 데이터베이스를 하나로 관리하는 팀 협업용 지식 관리 워크스페이스",,구글/이메일,개인 무료 무제한,완벽 지원,https://www.notion.so
지식 & 생산성,회의 및 기록,,Obsidian,노트 간 연결로 지식 그물망을 형성하는 마크다운 기반 로컬 지식 관리 도구,노트 간 연결을 통해 지식의 그물망을 형성하는 강력한 로컬 기반 개인 지식 관리 도구,,가입 불필요 (로컬),완전 무료,한국어 지원,https://obsidian.md
지식 & 생산성,회의 및 기록,,Otter.ai,"영어 회의 기록의 표준, 화자 구분·실시간 노트 작성 능력이 매우 뛰어남","영어권 회의 기록의 표준으로, 화자 구분과 실시간 노트 작성 능력이 매우 뛰어남",,구글/이메일,월 300분,영어 중심,https://otter.ai
지식 & 생산성,회의 및 기록,,다글로 (Daglo),높은 한국어 인식률로 영상·음성을 키워드별 정리·전사하는 회의록 서비스,높은 한국어 인식률을 바탕으로 영상/음성 자료를 키워드별로 정리하고 전사하는 서비스,,카카오/네이버,무료 플랜,한국어 특화,https://daglo.ai
지식 & 생산성,회의 및 기록,,비토 (Vito),"통화 내용을 메신저 형태로 시각화, 네이버 연동 전화 업무 기록 관리 최적화",통화 내용을 메신저 형태의 텍스트로 시각화하여 전화 업무 기록 관리에 최적화,,네이버 계정,월 120분,한국어 특화,https://www.vito.ai
